file_name	source_link	see also	notes	not downloaded	caused_bug	truncated_data	rle_compression	loads_in_sas
event1.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/event1.sas7bdat							
event2.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/event2.sas7bdat							
event3.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/event3.sas7bdat							
event4.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/event4.sas7bdat							
ex9_13.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/ex9_13.sas7bdat							
ex9_2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/ex9_2.sas7bdat							
exrate.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/exrate.sas7bdat							
fair4.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/fair4.sas7bdat							
FileFromJMP.sas7bdat	https://github.com/tidyverse/haven/issues/724		"file can't be opened by Haven (1 row, 1 col)"		Y			N
firstsex.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/firstsex.sas7bdat							
food.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/food.sas7bdat							
fred.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/fred.sas7bdat							
fts003.sas7bdat	https://www.fdic.gov/foia/ris/risdata/sas/ris9803-ris0512-sas.zip	https://github.com/pandas-dev/pandas/issues/16615			Y			
fullmoon.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/fullmoon.sas7bdat							
fultonfish.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/fultonfish.sas7bdat							
gascar.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/gascar.sas7bdat							
gasga.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/gasga.sas7bdat							
gdp.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/gdp.sas7bdat							
gfc.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/gfc.sas7bdat							
gfrance.sas7bdat	http://datavis.ca/gallery/guerry/maps/gfrance.sas7bdat							
gfrance2.sas7bdat	http://datavis.ca/gallery/guerry/maps/gfrance2.sas7bdat							
gold.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/gold.sas7bdat							
golf.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/golf.sas7bdat							
goutline.sas7bdat	http://datavis.ca/gallery/guerry/maps/goutline.sas7bdat							
gpa.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/gpa.sas7bdat							
growth47.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/growth47.sas7bdat							
grunfeld11.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/grunfeld11.sas7bdat							
grunfeld2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/grunfeld2.sas7bdat							
gss96.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/gss96.sas7bdat							
hip.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/hip.sas7bdat							
hltheds2006.sas7bdat	http://www.cdc.gov/HealthyYouth/shpps/2006/sas/hltheds2006.sas7bdat							
homes.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/homes.sas7bdat							
hwage.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/hwage.sas7bdat							
infln_wage.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/infln_wage.sas7bdat							
insur.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/insur.sas7bdat							
inter2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/inter2.sas7bdat							
issue_pandas.sas7bdat	https://github.com/pandas-dev/pandas/files/1836642/issue.zip	https://github.com/pandas-dev/pandas/issues/20447			Y			
issue1_pandas.sas7bdat	https://github.com/pandas-dev/pandas/files/1836642/issue.zip	https://github.com/pandas-dev/pandas/issues/20447			Y			
ivesc.sas7bdat	http://www.restore.ac.uk/PEAS/ex6datafiles/data/ivesc.sas7bdat							
ivreg1.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/ivreg1.sas7bdat							
ivreg2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/ivreg2.sas7bdat							
kernel.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/kernel.sas7bdat							
lasvegas.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/lasvegas.sas7bdat							
liquor.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/liquor.sas7bdat							
load_log.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
lon1.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/lon1.sas7bdat							
lon2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/lon2.sas7bdat							
lond_small.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/lond_small.sas7bdat							
london.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/london.sas7bdat							
manuf.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/manuf.sas7bdat							
many_columns.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
max_sas_date.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/	https://github.com/pandas-dev/pandas/issues/56014			Y			
max_sas_date.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
mc1.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/mc1.sas7bdat							
mc2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/mc2.sas7bdat							
means.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/means.sas7bdat							
metrics.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/metrics.sas7bdat							
mexican.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/mexican.sas7bdat							
mexico.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/mexico.sas7bdat							
motel.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/motel.sas7bdat							
mroz.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/mroz.sas7bdat							
naws_all.zip	https://www.dol.gov/agencies/eta/national-agricultural-workers-survey/data/files-sas							
nels_small.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/nels_small.sas7bdat							
nels.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/nels.sas7bdat							
newbroiler.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/newbroiler.sas7bdat							
njmin3.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/njmin3.sas7bdat							
nls_panel_devn.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/nls_panel_devn.sas7bdat							
nls_panel.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/nls_panel.sas7bdat							
nls_panel10.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/nls_panel10.sas7bdat							
nls_panel2.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/nls_panel2.sas7bdat							
normalrom.sas7bdat	http://www.cdc.gov/ncbddd/jointrom/documents/normalrom.sas7bdat							
oil.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/oil.sas7bdat							
okun.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/okun.sas7bdat							
olympics.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/olympics.sas7bdat							
one_observation.sas7bdat	https://github.com/tidyverse/haven/issues/627							
osteo_analysis_data.sas7bdat	http://www.cdc.gov/nchs/tutorials/Dietary/Downloads/osteo_analysis_data.sas7bdat							
oz.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/oz.sas7bdat							
phillips_aus.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/phillips_aus.sas7bdat							
phillips.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/phillips.sas7bdat							
physeds2006.sas7bdat	http://www.cdc.gov/HealthyYouth/shpps/2006/sas/physeds2006.sas7bdat							
pizza4.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/pizza4.sas7bdat							
popmort.sas7bdat	http://www.pauldickman.com/survival/sas/popmort.sas7bdat							
productsales.sas7bdat	https://github.com/pandas-dev/pandas/blob/main/pandas/tests/io/sas/data/							
psych.sas7bdat	http://www.chajewski.com/Teaching/Graduate/psych.sas7bdat							
pubexp.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/pubexp.sas7bdat							
q_del_pandas.sas7bdat	https://disk.yandex.com/d/xLddi4y_3Gtvox	https://github.com/pandas-dev/pandas/issues/15963	handling of deleted rows		Y			
q_pandas.sas7bdat	https://disk.yandex.com/d/xLddi4y_3Gtvox	https://github.com/pandas-dev/pandas/issues/15963			Y			
qtm.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/qtm.sas7bdat							
religion.sas7bdat	http://wps.ablongman.com/wps/media/objects/1108/1135330/religion.sas7bdat							
returns.sas7bdat	http://www.principlesofeconometrics.com/poe4/data/sas/returns.sas7bdat							
